"ID","name","versionNumber","contentType","dataFileSizeBytes","createdBy","createdOn","modifiedBy","modifiedOn","parentId","synapseURL","dataFileMD5Hex"
"syn66477943","TASK2_Leaderboard_set_Submission_form.csv","1","text/csv","7933","3501700","1746552999520","3393723","1746635435424","syn66479986","https://www.synapse.org/#!Synapse:syn66477943.1","328a0dbf53d420e79d1d836227af0d36"
"syn66477944","TASK2_Test_set_Submission_form.csv","1","text/csv","7933","3501700","1746552999561","3393723","1746652536758","syn66479986","https://www.synapse.org/#!Synapse:syn66477944.1","9d5d285c40147d0f98d5cdabc42ab13c"
"syn68527262","TASK2_Components_definition_fixed_V1.csv","1","text/csv","10691","3501700","1750964718903","3393723","1750967911719","syn66479986","https://www.synapse.org/#!Synapse:syn68527262.1","061bf72974253588f639d2bfc747e964"
"syn66477949","TASK2_Component_definition.csv","1","text/csv","10712","3501700","1746553000151","3463839","1746634242345","syn66479986","https://www.synapse.org/#!Synapse:syn66477949.1","95c2203eaad6d7764d6c5f1dc8a4b39e"
"syn68527261","TASK2_Stimulus_definition_fixed_V1.csv","1","text/csv","19465","3501700","1750964718860","3393723","1750967882836","syn66479986","https://www.synapse.org/#!Synapse:syn68527261.1","0210536a7334e2881c9ca50352f0fbaa"
"syn66477950","TASK2_Stimulus_definition.csv","1","text/csv","20189","3501700","1746553000231","3463839","1746634290712","syn66479986","https://www.synapse.org/#!Synapse:syn66477950.1","7c71a926b8d3e4274c3c8af46e8de858"
"syn66479976","TASK2_Leaderboard_ActualValue.csv","1","text/csv","49124","3501700","1746630049323","3463839","1753475650147","syn66479986","https://www.synapse.org/#!Synapse:syn66479976.1","70adfa4fd657fa3577ed7cf108d8c76f"
"syn68458411","Task2_single_RATA_fixed_V1.csv","1","text/csv","73200","3501700","1750567418480","3393723","1750703004959","syn66479986","https://www.synapse.org/#!Synapse:syn68458411.1","a6428e36dee125322522c8cc219fa0ca"
"syn68527263","Task2_single_RATA_fixed_V2.csv","1","text/csv","73200","3501700","1750964719137","3393723","1750967955110","syn66479986","https://www.synapse.org/#!Synapse:syn68527263.1","addf184a18046db62a075e1cd6c8fb11"
"syn66479979","Task2_single_RATA.csv","1","text/csv","96471","3501700","1746630274963","3463839","1746634394328","syn66479986","https://www.synapse.org/#!Synapse:syn66479979.1","9989a4a3e43f7454b383bdc50d206cde"
"syn66477948","TASK2_Train_mixture_Dataset.csv","1","text/csv","157561","3501700","1746552999871","3463839","1746634334828","syn66479986","https://www.synapse.org/#!Synapse:syn66477948.1","16d0182e2ddd9e71b0171276451518fa"
